name,fish_group,visual_effect,user_id,rating,item_id
Bumblebee Platy - Xiphophorus maculatus,Tooth carp,especially colorful,0,6,492
King Tetra Super Blue DNZ - Inpaichthys kerri super blue,Tetra,especially colorful,0,8,73
Black Scalar XL - Pterophyllum scalare,Cichlids,interesting body shape,0,8,347
Red Line Algae Eater - Sahyadria (Puntius) denisonii,Barbs,especially colorful,0,8,86
"Platy ""Red Wagtail"" - Xiphophorus maculatus",Tooth carp,especially colorful,0,5,455
Brilliant Tetra - Moenkhausia pitteri,Tetra,swarm behaviour,0,10,77
"Platy ""Rainbow"" - Xiphophorus maculatus",Tooth carp,especially colorful,0,6,446
Finite bichir - Polypterus finiteri - 4cm,Other fish,forms precincts,0,2,529
Sumatran barb gold/blue - Barbus tetrazona,Barbs,swarm behaviour,0,9,89
Shark catfish - Pangasius sutchi,Catfish,forms precincts,0,2,208
Red Pepper Tetra - Axelrodia riesei,Tetra,especially colorful,0,7,6
Pastel Goby - Tateurdina ocellicauda,Gobies,especially colorful,0,5,249
"Betta male crescent xl ""Dumbo Ear"" - Betta splendens",Labyrinth fish,especially colorful,0,7,405
Sharkfish - Balantiocheilus melanopterus,Barbs,swarm behaviour,0,9,75
Ear grating Loricariidae - Otocinclus,Catfish,swarm behaviour,0,10,247
Guppy Mix Female - Poecilia reticulata,Tooth carp,especially colorful,0,8,523
"Swordtail ""Green"" - Xiphophorus Helleri",Tooth carp,especially colorful,0,8,479
Blind Cave Tetra - Astyanax jordai (fasciatus mexicanus),Tetra,swarm behaviour,0,9,101
L200 Yellow Phantom Catfish - Hemiancistrus subviridis - 5-8 cm,Catfish,forms precincts,0,1,155
Spotted Blue-Eyed - Pseudomugil gertrudae,Spikefish,especially colorful,0,6,55
Clown Loach - Botia macracantha - S,Loaches,forms precincts,0,1,234
L236 Lined Loricariidae - Hypancistrus sp. 5cm,Catfish,especially colorful,0,7,177
"L333 - Bengal loricariid ""special"" - Hypancistrus sp. DNZ 5cm",Catfish,especially colorful,0,8,158
White spotted cichlid DNZ - Tropheus duboisi maswa,Cichlids,forms territories (when spawning),0,4,331
L240 - Sailfin snouttooth catfish - Leporacanthicus sp. - 6cm,Catfish,especially colorful,0,8,209
Blue Neon - Paracheirodon simulans,Tetra,especially colorful,0,8,2
Saulosi mouthbrooder coral red DNZ - Chindongo saulosi,Cichlids,interesting behaviour,0,4,338
Butterfly cichlid DNZ XL - Microgeophagus ramirezi,Cichlids,especially colorful,0,6,353
Zebrafish - Brachydanio (Danio) rerio,Beardies,swarm behaviour,0,10,10
Medaka Medaka - Oryzias latipes,Carps,especially colorful,0,5,374
Congo Tetra med - Phenacogrammus interruptus,Tetra,especially colorful,0,5,117
Zebra Loach - Botia striata,Loaches,swarm behaviour,0,7,173
"Guppy male ""blue moscow"" - Poecilia reticulata",Tooth carp,especially colorful,0,7,478
Gabonese cichlid DNZ - Hemichromis spec. Gabon,Cichlids,forms precincts,0,2,274
"Axolotl ""Albino"" - Ambystoma mexicanum - DNZ",Other fish,especially colorful,0,5,530
Guppy koi tuxedo - Poecilia reticulata,Tooth carp,especially colorful,0,6,467
Malawi cichlid color mix - Cichlidae spec.,Cichlids,forms precincts,0,3,289
Yellow Congo Tetra - Alestopetersius caudalis,Tetra,interesting body shape,0,8,72
Sajica cichlid - Cryptoheros sajica,Cichlids,forms territories (when spawning),0,2,342
2x Turquoise Goldfish - Melanochromis auratus - pair,Cichlids,especially colorful,0,7,265
Orange Laser Mailed Catfish - Corydoras spec. CW23 - DNZ,Catfish,especially colorful,0,6,149
2x chestnut cichlid - Aequidens maronii,Cichlids,forms territories (when spawning),0,4,354
Coral Platy - Xiphophorus maculatus,Tooth carp,especially colorful,0,7,518
"Swordtail ""Red"" - Xiphophorus Helleri",Tooth carp,especially colorful,0,5,468
Kaiser cichlid check - Aulonocara jam Cat,Cichlids,forms territories (when spawning),0,5,296
Schomburgk's disc tetra - Metynnis schomburgi,Tetra,swarm behaviour,0,8,79
Angel Catfish - Pimelodus pictus - 5cm,Catfish,swarm behaviour,0,7,132
Elegant armored catfish - Corydoras elegans,Catfish,swarm behaviour,0,8,238
Shredded Puffer - Tetraodon baileyi,Pufferfish,interesting body shape,0,7,380
Black Neon XL - Hyphessobrycon herbertaxelrodi,Tetra,swarm behaviour,0,7,30
Witch Catfish - Rineloricaria fallax - 8-10cm,Catfish,especially colorful,0,6,231
Platy Berliner - Xiphophorus maculatus,Tooth carp,especially colorful,0,5,505
Male Flame Guppy - Poecilia reticulata,Tooth carp,especially colorful,0,7,438
Mosquito rasbora - Boraras brigittae,Beardies,especially colorful,0,5,9
Green Fringe Lipstick - Epalzeorhynchos frenatum,Other fish,especially colorful,0,5,525
L184 / L107 Brilliant catfish - Ancistrus sp. - DNZ 5-6cm,Catfish,especially colorful,0,8,176
Two spot predatory tetra - Exodon paradoxus,Tetra,interesting behaviour,0,5,104
L340 - Mega Clown - Hypancistrus spec - 5-6cm,Catfish,especially colorful,0,7,211
Indian glass catfish - Kryptopterus vitreolus (bicirrhis),Catfish,swarm behaviour,0,9,140
Silverlined Armored Catfish - Corydoras agassizii - DNZ,Catfish,swarm behaviour,0,10,148
Emperor clown loach - Botia udomrithruji,Loaches,swarm behaviour,0,7,196
"2x peacock cichlid ""red tiger"" - Astronotus ocellatus - pair",Cichlids,especially colorful,0,6,312
Roach moenkhausia - Moenkhausia sanctaefilomenae,Tetra,swarm behaviour,0,7,76
Dwarf Snakehead - Channa gachua blue bengal - DNZ 8-10cm,Other fish,forms territories (when spawning),0,2,532
Flagtail Glassfish - Rasbora trilineata,Beardies,interesting behaviour,0,5,70
"Female Guppy ""Snake Green"" - Poecilia reticulata",Tooth carp,especially colorful,0,6,481
"Swordtail ""Koi Sanke"" - Xiphophorus Helleri",Tooth carp,especially colorful,0,7,469
"2x cockatoo dwarf cichlid ""red"" - Apistogramma cacatuoides - DNZ pair",Cichlids,forms territories (when spawning),0,4,364
2x Gardner's killifish - Fundulopanchax gardneri - pair,Tooth carp,especially colorful,0,7,369
"3x zebra cichlid ""red"" - Pseudotropheus estherae - TRIO (2W/1M)",Cichlids,forms precincts,0,4,255
Veil Bitterling Barb DNZ - Barbus titteya,Barbs,especially colorful,0,5,78
White-cheeked Goby - Rhinogobius duospilus,Gobies,especially colorful,0,7,218
"Molly ""Dalmatian"" - Poecilia sphenops",Tooth carp,especially colorful,0,5,448
Endler Guppy male natural form - Poecilia wingei,Tooth carp,especially colorful,0,5,489
Glorious red mullet - Pethia conchonius,Barbs,especially colorful,0,6,68
"Sailfin ""dalmatian"" - Poecilia velifera",Tooth carp,especially colorful,0,7,497
"Cardinalfish golden-orange - Tanichthys albonubes ""orange""",Beardies,especially colorful,0,5,63
Parrot Platy - Xiphophorus variatus,Tooth carp,especially colorful,0,8,452
Platy 'Marygold Glowlight' - Xiphophorus maculatus,Tooth carp,especially colorful,0,7,433
Longitudinal strip of ornamental tetra gold - Nannostomus beckfordi,Tetra,especially colorful,0,8,82
Scalar koi red DNZ - Pterophyllum scalare,Cichlids,interesting body shape,0,9,341
"Sumatran barb ""gold"" - Barbus tetrazona",Barbs,swarm behaviour,0,9,33
Bramble Tetra - Hyphessobrycon wadai,Tetra,swarm behaviour,0,10,84
Orange Blue Rainbowfish - Melanotaenia boesemani - DNZ,Spikefish,especially colorful,0,5,90
Cardinalfish - Tanichthys albonubes,Beardies,swarm behaviour,0,8,0
Sparkling Tetra - Hyphessobrycon amandae,Tetra,especially colorful,0,7,11
Betta male Dragon metallic lg - Betta splendens,Labyrinth fish,interesting body shape,0,8,407
Brocade Barb - Barbodes semifasciolatus DNZ,Barbs,especially colorful,0,7,22
"2x Emerald Perch - Pelvicachromis taeniatus ""Nigeria Red"" - pair",Cichlids,especially colorful,0,6,352
Scarlet Dwarf Bluefish - Dario dario,Other fish,especially colorful,0,7,365
"Blue Platy ""tuxedo"" - Xiphophorus maculatus",Tooth carp,especially colorful,0,5,470
Mountain catfish - Chaetostoma thomasi,Catfish,interesting body shape,0,7,172
Gold Laser Mailed Catfish DNZ - Corydoras spec. CW010,Catfish,especially colorful,0,8,153
Golden Striped Garfish - Aplocheilus lineatus - EU-NZ,Tooth carp,especially colorful,0,8,367
Guinea fowl rasbora - Celestichthys (Danio) margaritatus (minifish),Beardies,especially colorful,0,8,18
Corydoras trilineatus - Corydoras trilineatus,Catfish,swarm behaviour,0,8,195
Red Thick-lipped Gourami - Colisa labiosa,Labyrinth fish,forms territories (when spawning),0,2,411
Copper Tetra DNZ - Hasemania nana,Tetra,especially colorful,0,6,15
"2x scalar ""Blue Pearl"" - Pterophyllum scalare - DNZ",Cichlids,forms territories (when spawning),0,5,293
Salmon Rainbowfish - Glossolepis incisus,Spikefish,especially colorful,0,6,39
"Parrot Platy ""Hawaii - high fin"" - Xiphophorus variatus",Tooth carp,especially colorful,0,7,493
Guppy Mix male - Poecilia reticulata,Tooth carp,especially colorful,0,8,524
Glowlight rasbora - Celestichthys (Danio) choprae,Beardies,especially colorful,0,7,46
Red Lipstick Barbel - Pethia erythromycter,Barbs,especially colorful,0,8,93
2x Yellow Viktoria Mouthbrooder - Haplochromis rock kribensis - DNZ 5cm,Cichlids,forms territories (when spawning),0,3,323
2x Black Scalar - Pterophyllum scalare - DNZ,Cichlids,forms territories (when spawning),0,2,321
Discus heckel DNZ - Symphysodon discus,Cichlids,especially colorful,0,8,305
Senegal bichir - Polypterus senegalus,Other fish,forms precincts,0,2,536
Male blue glass guppy - Poecilia reticulata,Tooth carp,especially colorful,0,7,506
L 028 Angel pleco - Hypancistrus spec. DNZ,Catfish,forms territories (when spawning),0,4,192
2x purple perch - Pseudotropheus lombardoi DNZ pairs,Cichlids,especially colorful,0,8,348
Round-headed flounder catfish - Planiloricaria cryptodon 8cm,Catfish,especially colorful,0,8,180
2 x red line dwarf cichlid - Apistogramma hongsloi - DNZ pair,Cichlids,forms precincts,0,4,301
Corydoras julii (trilineatus),Catfish,swarm behaviour,0,8,137
Endler guppy male red scarlett - Poecilia reticulata,Tooth carp,especially colorful,0,8,441
2 x black-throated dwarf cichlid - Apistogramma viejita - DNZ - pair,Cichlids,forms territories (when spawning),0,3,325
Discus red melon DNZ - Symphysodon aequifasciatus,Cichlids,especially colorful,0,8,268
Beautiful Snakehead - Channa pulchra - DNZ - 10cm,Other fish,forms territories (when spawning),0,5,533
L270 - Chocolate Zebra Catfish - Hypancistrus sp. 5cm,Catfish,especially colorful,0,5,244
2x peaceful fighting fish - Betta imbellis - pair,Labyrinth fish,forms territories (when spawning),0,3,426
Red-gold neon tetra - Paracheirodon innesi,Tetra,swarm behaviour,0,7,69
Elephantnose Fish - Gnathonemus petersii,Bone Tongues,swarm behaviour,0,9,377
King Tetra - Inpaichthys kerri EU-NZ,Tetra,especially colorful,0,5,318
Red striped fire eel - Mastacembelus erythrotaenia,Spiny eels,especially colorful,0,7,185
L102 - Snowball Loricariidae - Hypancistrus cf. inspector - DNZ,Catfish,especially colorful,0,5,131
Honeycomb Catfish - Glyptoperichthys gibbiceps - L165,Catfish,forms precincts,0,3,154
Catfish - Ancistrus sp. - GRNLO,Catfish,forms precincts,0,1,228
"Guppy male ""dumbo ear"" - Poecilia reticulata",Tooth carp,especially colorful,0,7,464
Amapa Glowlight Tetra - Hyphessobrycon amapaensis,Tetra,swarm behaviour,0,9,124
Neon medaka - Oryzias cf. woworae - DNZ,Spikefish,especially colorful,0,5,375
Germany Platy - Xiphophorus maculatus,Tooth carp,especially colorful,0,8,447
Fighting fish male white poster lg - Betta splendens,Labyrinth fish,interesting body shape,0,7,424
L387 - dwarf shield catfish - Ancistomus sp. DNZ 4-6 cm,Catfish,especially colorful,0,5,182
"2x scalar ""Leopard"" - Pterophyllum scalare - DNZ",Cichlids,forms territories (when spawning),0,3,355
Nander Cichlid - Altolamprologus compressiceps,Cichlids,forms territories (when spawning),0,5,290
Guppy koi blond tuxedo - Poecilia reticulata,Tooth carp,especially colorful,0,7,472
Veil catfish - Ancistrus spec,Catfish,interesting body shape,0,8,227
"Corydoras aeneus ""black"" - Corydoras aeneus - DNZ",Catfish,swarm behaviour,0,10,245
Betta male Superdelta koi - Betta splendens,Labyrinth fish,interesting body shape,0,7,421
Five girdle barbel - Desmopuntius (Puntius) pentazona,Barbs,especially colorful,0,6,19
Swordtail Lyre Mix - Xiphophorus Helleri,Tooth carp,especially colorful,0,7,494
Golden Mourning Cloak Tetra - Gymnocorymbus ternetzi,Tetra,especially colorful,0,8,56
2x Gourami - Colisa chuna - pair,Labyrinth fish,especially colorful,0,8,396
Molly black - Poecilia sphenops,Tooth carp,especially colorful,0,8,483
"2 x butterfly cichlid ""blue punk"" - Microgeophagus ramirezi - pair",Cichlids,especially colorful,0,7,362
"Swordtail ""Neon"" - Xiphophorus Helleri",Tooth carp,especially colorful,0,8,461
2x Salvins cichlid - Cichlasoma salvini - DNZ pair,Cichlids,forms territories (when spawning),0,4,316
Ornamental Tetra - Hyphessobrycon bentosi - DNZ,Tetra,swarm behaviour,0,7,25
